CIVILSTAND;ALDER;OMRÅDE;TID;INDHOLD
Gift/separeret;I alt;København;2020K1;150458
Gift/separeret;I alt;Aalborg;2020K1;71412
Gift/separeret;I alt;Odense;2020K1;65362
Gift/separeret;0 år;København;2020K1;0
Gift/separeret;0 år;Aalborg;2020K1;0
Gift/separeret;0 år;Odense;2020K1;0
Gift/separeret;1 år;København;2020K1;0
Gift/separeret;1 år;Aalborg;2020K1;0
Gift/separeret;1 år;Odense;2020K1;0
Gift/separeret;2 år;København;2020K1;0
Gift/separeret;2 år;Aalborg;2020K1;0
Gift/separeret;2 år;Odense;2020K1;0
Gift/separeret;3 år;København;2020K1;0
Gift/separeret;3 år;Aalborg;2020K1;0
Gift/separeret;3 år;Odense;2020K1;0
Gift/separeret;4 år;København;2020K1;0
Gift/separeret;4 år;Aalborg;2020K1;0
Gift/separeret;4 år;Odense;2020K1;0
Gift/separeret;5 år;København;2020K1;0
Gift/separeret;5 år;Aalborg;2020K1;0
Gift/separeret;5 år;Odense;2020K1;0
Gift/separeret;6 år;København;2020K1;0
Gift/separeret;6 år;Aalborg;2020K1;0
Gift/separeret;6 år;Odense;2020K1;0
Gift/separeret;7 år;København;2020K1;0
Gift/separeret;7 år;Aalborg;2020K1;0
Gift/separeret;7 år;Odense;2020K1;0
Gift/separeret;8 år;København;2020K1;0
Gift/separeret;8 år;Aalborg;2020K1;0
Gift/separeret;8 år;Odense;2020K1;0
Gift/separeret;9 år;København;2020K1;0
Gift/separeret;9 år;Aalborg;2020K1;0
Gift/separeret;9 år;Odense;2020K1;0
Gift/separeret;10 år;København;2020K1;0
Gift/separeret;10 år;Aalborg;2020K1;0
Gift/separeret;10 år;Odense;2020K1;0
Gift/separeret;11 år;København;2020K1;0
Gift/separeret;11 år;Aalborg;2020K1;0
Gift/separeret;11 år;Odense;2020K1;0
Gift/separeret;12 år;København;2020K1;0
Gift/separeret;12 år;Aalborg;2020K1;0
Gift/separeret;12 år;Odense;2020K1;0
Gift/separeret;13 år;København;2020K1;0
Gift/separeret;13 år;Aalborg;2020K1;0
Gift/separeret;13 år;Odense;2020K1;0
Gift/separeret;14 år;København;2020K1;0
Gift/separeret;14 år;Aalborg;2020K1;0
Gift/separeret;14 år;Odense;2020K1;0
Gift/separeret;15 år;København;2020K1;0
Gift/separeret;15 år;Aalborg;2020K1;0
Gift/separeret;15 år;Odense;2020K1;0
