ALDER;OMRÅDE;CIVILSTAND;TID;INDHOLD
I alt;København;Ugift;2020K1;412512
I alt;Aalborg;Ugift;2020K1;118194
I alt;Odense;Ugift;2020K1;112490
0 år;København;Ugift;2020K1;9921
0 år;Aalborg;Ugift;2020K1;2469
0 år;Odense;Ugift;2020K1;2274
1 år;København;Ugift;2020K1;8590
1 år;Aalborg;Ugift;2020K1;2220
1 år;Odense;Ugift;2020K1;2242
2 år;København;Ugift;2020K1;8044
2 år;Aalborg;Ugift;2020K1;2234
2 år;Odense;Ugift;2020K1;2115
3 år;København;Ugift;2020K1;7307
3 år;Aalborg;Ugift;2020K1;2236
3 år;Odense;Ugift;2020K1;2169
4 år;København;Ugift;2020K1;6607
4 år;Aalborg;Ugift;2020K1;2119
4 år;Odense;Ugift;2020K1;2069
5 år;København;Ugift;2020K1;6148
5 år;Aalborg;Ugift;2020K1;1990
5 år;Odense;Ugift;2020K1;2015
6 år;København;Ugift;2020K1;5773
6 år;Aalborg;Ugift;2020K1;1947
6 år;Odense;Ugift;2020K1;1938
7 år;København;Ugift;2020K1;5838
7 år;Aalborg;Ugift;2020K1;2064
7 år;Odense;Ugift;2020K1;1965
8 år;København;Ugift;2020K1;5769
8 år;Aalborg;Ugift;2020K1;2086
8 år;Odense;Ugift;2020K1;1992
9 år;København;Ugift;2020K1;5921
9 år;Aalborg;Ugift;2020K1;2179
9 år;Odense;Ugift;2020K1;2103
10 år;København;Ugift;2020K1;5681
10 år;Aalborg;Ugift;2020K1;2194
10 år;Odense;Ugift;2020K1;2121
11 år;København;Ugift;2020K1;5557
11 år;Aalborg;Ugift;2020K1;2325
11 år;Odense;Ugift;2020K1;2248
12 år;København;Ugift;2020K1;5314
12 år;Aalborg;Ugift;2020K1;2176
12 år;Odense;Ugift;2020K1;2217
13 år;København;Ugift;2020K1;5178
13 år;Aalborg;Ugift;2020K1;2223
13 år;Odense;Ugift;2020K1;2136
14 år;København;Ugift;2020K1;4799
14 år;Aalborg;Ugift;2020K1;2242
14 år;Odense;Ugift;2020K1;2041
15 år;København;Ugift;2020K1;4809
15 år;Aalborg;Ugift;2020K1;2166
15 år;Odense;Ugift;2020K1;2087
16 år;København;Ugift;2020K1;4740
16 år;Aalborg;Ugift;2020K1;2158
16 år;Odense;Ugift;2020K1;2046
17 år;København;Ugift;2020K1;4826
17 år;Aalborg;Ugift;2020K1;2177
17 år;Odense;Ugift;2020K1;2072
18 år;København;Ugift;2020K1;5017
18 år;Aalborg;Ugift;2020K1;2240
18 år;Odense;Ugift;2020K1;2193
19 år;København;Ugift;2020K1;5857
19 år;Aalborg;Ugift;2020K1;2725
19 år;Odense;Ugift;2020K1;2610
20 år;København;Ugift;2020K1;7762
20 år;Aalborg;Ugift;2020K1;3494
20 år;Odense;Ugift;2020K1;3212
21 år;København;Ugift;2020K1;11113
21 år;Aalborg;Ugift;2020K1;4617
21 år;Odense;Ugift;2020K1;4182
22 år;København;Ugift;2020K1;13979
22 år;Aalborg;Ugift;2020K1;5260
22 år;Odense;Ugift;2020K1;4876
23 år;København;Ugift;2020K1;15167
23 år;Aalborg;Ugift;2020K1;5494
23 år;Odense;Ugift;2020K1;4975
24 år;København;Ugift;2020K1;16620
24 år;Aalborg;Ugift;2020K1;5109
24 år;Odense;Ugift;2020K1;5133
25 år;København;Ugift;2020K1;17467
25 år;Aalborg;Ugift;2020K1;4791
25 år;Odense;Ugift;2020K1;4576
26 år;København;Ugift;2020K1;16834
26 år;Aalborg;Ugift;2020K1;4078
26 år;Odense;Ugift;2020K1;3974
27 år;København;Ugift;2020K1;16578
27 år;Aalborg;Ugift;2020K1;3716
27 år;Odense;Ugift;2020K1;3526
28 år;København;Ugift;2020K1;15601
28 år;Aalborg;Ugift;2020K1;3064
28 år;Odense;Ugift;2020K1;2995
29 år;København;Ugift;2020K1;14571
29 år;Aalborg;Ugift;2020K1;2701
29 år;Odense;Ugift;2020K1;2649
30 år;København;Ugift;2020K1;13000
30 år;Aalborg;Ugift;2020K1;2358
30 år;Odense;Ugift;2020K1;2264
31 år;København;Ugift;2020K1;11305
31 år;Aalborg;Ugift;2020K1;1973
31 år;Odense;Ugift;2020K1;1945
32 år;København;Ugift;2020K1;9503
32 år;Aalborg;Ugift;2020K1;1687
32 år;Odense;Ugift;2020K1;1605
33 år;København;Ugift;2020K1;8583
33 år;Aalborg;Ugift;2020K1;1525
33 år;Odense;Ugift;2020K1;1425
34 år;København;Ugift;2020K1;7528
34 år;Aalborg;Ugift;2020K1;1406
34 år;Odense;Ugift;2020K1;1227
35 år;København;Ugift;2020K1;6361
35 år;Aalborg;Ugift;2020K1;1197
35 år;Odense;Ugift;2020K1;1217
36 år;København;Ugift;2020K1;5684
36 år;Aalborg;Ugift;2020K1;1062
36 år;Odense;Ugift;2020K1;972
37 år;København;Ugift;2020K1;5194
37 år;Aalborg;Ugift;2020K1;1095
37 år;Odense;Ugift;2020K1;978
38 år;København;Ugift;2020K1;4694
38 år;Aalborg;Ugift;2020K1;935
38 år;Odense;Ugift;2020K1;839
39 år;København;Ugift;2020K1;4496
39 år;Aalborg;Ugift;2020K1;911
39 år;Odense;Ugift;2020K1;868
40 år;København;Ugift;2020K1;4249
40 år;Aalborg;Ugift;2020K1;929
40 år;Odense;Ugift;2020K1;760
41 år;København;Ugift;2020K1;3918
41 år;Aalborg;Ugift;2020K1;816
41 år;Odense;Ugift;2020K1;769
42 år;København;Ugift;2020K1;3473
42 år;Aalborg;Ugift;2020K1;771
42 år;Odense;Ugift;2020K1;696
