OMRÅDE;ALDER;TID;INDHOLD
København;I alt;2020K1;632340
København;0 år;2020K1;9921
København;1 år;2020K1;8590
København;2 år;2020K1;8044
København;3 år;2020K1;7307
København;4 år;2020K1;6607
København;5 år;2020K1;6148
København;6 år;2020K1;5773
København;7 år;2020K1;5838
København;8 år;2020K1;5769
København;9 år;2020K1;5921
København;10 år;2020K1;5681
København;11 år;2020K1;5557
København;12 år;2020K1;5314
København;13 år;2020K1;5178
København;14 år;2020K1;4799
København;15 år;2020K1;4809
København;16 år;2020K1;4740
København;17 år;2020K1;4826
København;18 år;2020K1;5017
København;19 år;2020K1;5869
København;20 år;2020K1;7796
København;21 år;2020K1;11180
København;22 år;2020K1;14122
København;23 år;2020K1;15410
København;24 år;2020K1;17049
København;25 år;2020K1;18173
København;26 år;2020K1;17970
København;27 år;2020K1;18253
København;28 år;2020K1;17740
København;29 år;2020K1;17268
København;30 år;2020K1;16174
København;31 år;2020K1;15161
København;32 år;2020K1;13466
København;33 år;2020K1;12712
København;34 år;2020K1;11833
København;35 år;2020K1;10818
København;36 år;2020K1;9969
København;37 år;2020K1;9599
København;38 år;2020K1;9193
København;39 år;2020K1;9212
København;40 år;2020K1;8972
København;41 år;2020K1;8763
København;42 år;2020K1;8211
København;43 år;2020K1;8325
København;44 år;2020K1;8603
København;45 år;2020K1;8545
København;46 år;2020K1;7943
København;47 år;2020K1;8089
København;48 år;2020K1;7503
København;49 år;2020K1;7094
København;50 år;2020K1;6733
København;51 år;2020K1;6940
København;52 år;2020K1;7227
København;53 år;2020K1;7436
København;54 år;2020K1;7154
København;55 år;2020K1;6817
København;56 år;2020K1;6515
København;57 år;2020K1;5919
København;58 år;2020K1;5659
København;59 år;2020K1;5503
København;60 år;2020K1;5087
København;61 år;2020K1;4988
København;62 år;2020K1;4741
København;63 år;2020K1;4736
København;64 år;2020K1;4558
København;65 år;2020K1;4329
København;66 år;2020K1;4346
København;67 år;2020K1;4036
København;68 år;2020K1;4011
København;69 år;2020K1;4011
København;70 år;2020K1;3655
København;71 år;2020K1;3870
København;72 år;2020K1;3978
København;73 år;2020K1;3817
København;74 år;2020K1;3567
København;75 år;2020K1;3206
København;76 år;2020K1;2947
København;77 år;2020K1;2593
København;78 år;2020K1;2040
København;79 år;2020K1;1949
København;80 år;2020K1;1753
København;81 år;2020K1;1619
København;82 år;2020K1;1317
København;83 år;2020K1;1166
København;84 år;2020K1;1055
København;85 år;2020K1;906
København;86 år;2020K1;819
København;87 år;2020K1;775
København;88 år;2020K1;664
København;89 år;2020K1;531
København;90 år;2020K1;491
København;91 år;2020K1;426
København;92 år;2020K1;363
København;93 år;2020K1;298
København;94 år;2020K1;253
København;95 år;2020K1;185
København;96 år;2020K1;150
København;97 år;2020K1;100
København;98 år;2020K1;101
København;99 år;2020K1;61
København;100 år;2020K1;30
København;101 år;2020K1;25
København;102 år;2020K1;12
København;103 år;2020K1;6
København;104 år;2020K1;6
København;105 år;2020K1;3
København;106 år;2020K1;1
København;107 år;2020K1;2
København;108 år;2020K1;0
København;109 år;2020K1;0
København;110 år;2020K1;0
København;111 år;2020K1;0
København;112 år;2020K1;0
København;113 år;2020K1;0
København;114 år;2020K1;0
København;115 år;2020K1;0
København;116 år;2020K1;0
København;117 år;2020K1;0
København;118 år;2020K1;0
København;119 år;2020K1;0
København;120 år;2020K1;0
København;121 år;2020K1;0
København;122 år;2020K1;0
København;123 år;2020K1;0
København;124 år;2020K1;0
København;125 år;2020K1;0
Odense;I alt;2020K1;204895
Odense;0 år;2020K1;2274
Odense;1 år;2020K1;2242
Odense;2 år;2020K1;2115
Odense;3 år;2020K1;2169
Odense;4 år;2020K1;2069
Odense;5 år;2020K1;2015
Odense;6 år;2020K1;1938
Odense;7 år;2020K1;1965
Odense;8 år;2020K1;1992
Odense;9 år;2020K1;2103
Odense;10 år;2020K1;2121
Odense;11 år;2020K1;2248
Odense;12 år;2020K1;2217
Odense;13 år;2020K1;2136
Odense;14 år;2020K1;2041
Odense;15 år;2020K1;2087
Odense;16 år;2020K1;2046
Odense;17 år;2020K1;2072
Odense;18 år;2020K1;2195
Odense;19 år;2020K1;2614
Odense;20 år;2020K1;3217
Odense;21 år;2020K1;4208
Odense;22 år;2020K1;4921
Odense;23 år;2020K1;5058
Odense;24 år;2020K1;5303
Odense;25 år;2020K1;4794
Odense;26 år;2020K1;4315
Odense;27 år;2020K1;4021
Odense;28 år;2020K1;3634
Odense;29 år;2020K1;3440
Odense;30 år;2020K1;3115
Odense;31 år;2020K1;2875
Odense;32 år;2020K1;2619
Odense;33 år;2020K1;2532
Odense;34 år;2020K1;2346
Odense;35 år;2020K1;2315
Odense;36 år;2020K1;2133
Odense;37 år;2020K1;2123
Odense;38 år;2020K1;2113
Odense;39 år;2020K1;2303
Odense;40 år;2020K1;2209
Odense;41 år;2020K1;2367
Odense;42 år;2020K1;2166
Odense;43 år;2020K1;2391
Odense;44 år;2020K1;2462
Odense;45 år;2020K1;2443
Odense;46 år;2020K1;2547
Odense;47 år;2020K1;2584
Odense;48 år;2020K1;2604
Odense;49 år;2020K1;2394
Odense;50 år;2020K1;2310
Odense;51 år;2020K1;2433
Odense;52 år;2020K1;2529
Odense;53 år;2020K1;2681
Odense;54 år;2020K1;2579
